dataset,k,algorithm,rep,peak_heap_mb,frontier_kind
retail,500,V1_BFS_Full,0,341.80,priority_queue
retail,500,V1_BFS_Full,1,367.00,priority_queue
retail,500,V1_BFS_Full,2,397.99,priority_queue
retail,500,V2_DFS_Full,0,424.11,stack
retail,500,V2_DFS_Full,1,466.51,stack
retail,500,V2_DFS_Full,2,431.96,stack
retail,500,V3_BFS_P123,0,539.45,priority_queue
retail,500,V3_BFS_P123,1,506.77,priority_queue
retail,500,V3_BFS_P123,2,540.37,priority_queue
retail,500,V4_DFS_P123,0,480.03,stack
retail,500,V4_DFS_P123,1,527.98,stack
retail,500,V4_DFS_P123,2,487.43,stack
retail,600,V1_BFS_Full,0,533.78,priority_queue
retail,600,V1_BFS_Full,1,479.85,priority_queue
retail,600,V1_BFS_Full,2,453.86,priority_queue
retail,600,V2_DFS_Full,0,482.78,stack
retail,600,V2_DFS_Full,1,483.18,stack
retail,600,V2_DFS_Full,2,501.79,stack
retail,600,V3_BFS_P123,0,591.32,priority_queue
retail,600,V3_BFS_P123,1,486.93,priority_queue
retail,600,V3_BFS_P123,2,503.57,priority_queue
retail,600,V4_DFS_P123,0,480.30,stack
retail,600,V4_DFS_P123,1,577.25,stack
retail,600,V4_DFS_P123,2,652.70,stack
retail,700,V1_BFS_Full,0,605.97,priority_queue
retail,700,V1_BFS_Full,1,606.84,priority_queue
retail,700,V1_BFS_Full,2,593.56,priority_queue
retail,700,V2_DFS_Full,0,630.06,stack
retail,700,V2_DFS_Full,1,593.73,stack
retail,700,V2_DFS_Full,2,610.84,stack
retail,700,V3_BFS_P123,0,671.88,priority_queue
retail,700,V3_BFS_P123,1,667.48,priority_queue
retail,700,V3_BFS_P123,2,714.91,priority_queue
retail,700,V4_DFS_P123,0,709.43,stack
retail,700,V4_DFS_P123,1,777.79,stack
retail,700,V4_DFS_P123,2,643.19,stack
retail,800,V1_BFS_Full,0,747.91,priority_queue
retail,800,V1_BFS_Full,1,761.68,priority_queue
retail,800,V1_BFS_Full,2,773.89,priority_queue
retail,800,V2_DFS_Full,0,761.87,stack
retail,800,V2_DFS_Full,1,871.64,stack
retail,800,V2_DFS_Full,2,771.27,stack
retail,800,V3_BFS_P123,0,806.85,priority_queue
retail,800,V3_BFS_P123,1,857.96,priority_queue
retail,800,V3_BFS_P123,2,801.25,priority_queue
retail,800,V4_DFS_P123,0,779.73,stack
retail,800,V4_DFS_P123,1,812.65,stack
retail,800,V4_DFS_P123,2,795.93,stack
retail,900,V1_BFS_Full,0,899.99,priority_queue
retail,900,V1_BFS_Full,1,850.41,priority_queue
retail,900,V1_BFS_Full,2,836.73,priority_queue
retail,900,V2_DFS_Full,0,935.89,stack
retail,900,V2_DFS_Full,1,995.97,stack
retail,900,V2_DFS_Full,2,891.95,stack
retail,900,V3_BFS_P123,0,958.22,priority_queue
retail,900,V3_BFS_P123,1,987.60,priority_queue
retail,900,V3_BFS_P123,2,987.58,priority_queue
retail,900,V4_DFS_P123,0,1145.97,stack
retail,900,V4_DFS_P123,1,979.97,stack
retail,900,V4_DFS_P123,2,980.90,stack
